INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,27/10/2022,00027500.00,PE      ,00000000.40,00000000.90,00000000.05,00000000.15,000000000661775,          2015000,            80600,             7731,    55413299372.50,         799372.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00028500.00,PE      ,00000000.75,00000001.15,00000000.05,00000000.10,000000000052825,           309750,            12390,             1415,     8828001960.00,         126960.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00029500.00,PE      ,00000000.80,00000001.00,00000000.05,00000000.15,000000000026325,           123825,             4953,              646,     3652890446.25,          52946.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00030500.00,PE      ,00000001.10,00000001.10,00000000.05,00000000.20,000000000032725,           148375,             5935,              729,     4525499767.50,          62267.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00031500.00,PE      ,00000001.05,00000001.10,00000000.05,00000000.05,000000000022150,            76075,             3043,              497,     2396395778.75,          33278.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00032500.00,PE      ,00000000.75,00000000.95,00000000.05,00000000.15,000000000026350,            77725,             3109,              623,     2526101020.00,          38520.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00033500.00,PE      ,00000001.00,00000001.15,00000000.05,00000000.10,000000000087250,           186250,             7450,             1153,     6239452095.00,          77095.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00033700.00,PE      ,00000000.45,00000001.00,00000000.05,00000000.10,000000000001050,             2425,              097,              031,       81723605.00,           1105.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00033900.00,PE      ,00000000.70,00000003.90,00000000.05,00000000.15,000000000003175,            14425,              577,              211,      489016252.50,           8752.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00034100.00,PE      ,00000001.00,00000001.15,00000000.05,00000000.10,000000000002975,            22075,              883,              192,      752769770.00,          12270.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00034300.00,PE      ,00000000.70,00000001.15,00000000.05,00000000.10,000000000001900,             8075,              323,              137,      276977056.25,           4556.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00034500.00,PE      ,00000000.80,00000001.65,00000000.05,00000000.15,000000000032325,            93800,             3752,              995,     3236151541.25,          51541.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00034700.00,PE      ,00000000.60,00000001.05,00000000.20,00000000.40,000000000001500,             1900,              076,              037,       65931127.50,           1127.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00034900.00,PE      ,00000001.75,00000001.75,00000000.10,00000000.15,000000000001950,             2100,              084,              077,       73291506.25,           1506.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00035100.00,PE      ,00000001.90,00000001.90,00000000.10,00000000.30,000000000002675,            14300,              572,              176,      501940210.00,          10210.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00035300.00,PE      ,00000000.70,00000000.95,00000000.05,00000000.15,000000000002450,             6675,              267,              136,      235630456.25,           2956.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00035500.00,PE      ,00000001.10,00000001.55,00000000.05,00000000.10,000000000059900,           171500,             6860,             1966,     6088335270.00,          85270.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00035700.00,PE      ,00000001.45,00000001.45,00000000.05,00000000.15,000000000003050,             8550,              342,              200,      305240822.50,           5822.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00035900.00,PE      ,00000000.65,00000001.95,00000000.05,00000000.15,000000000004525,            14025,              561,              311,      503508257.50,          10757.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00036100.00,PE      ,00000001.10,00000001.35,00000000.05,00000000.10,000000000008300,            22575,              903,              463,      814974248.75,          16748.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00036300.00,PE      ,00000001.30,00000001.90,00000000.05,00000000.10,000000000014850,            38225,             1529,              619,     1387591450.00,          23950.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00036500.00,PE      ,00000001.40,00000001.45,00000000.05,00000000.10,000000000228875,          1024450,            40978,             6432,    37393225468.75,         800468.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00036700.00,PE      ,00000000.70,00000001.90,00000000.05,00000000.10,000000000011325,            36300,             1452,              597,     1332230598.75,          20598.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00036900.00,PE      ,00000001.85,00000001.90,00000000.05,00000000.10,000000000012500,            36225,             1449,              610,     1336726861.25,          24361.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00037100.00,PE      ,00000002.20,00000002.25,00000000.05,00000000.10,000000000012050,            63575,             2543,             1049,     2358680988.75,          48488.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00037300.00,PE      ,00000000.80,00000001.70,00000000.05,00000000.10,000000000013350,           137525,             5501,             1947,     5129795558.75,         113058.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00037500.00,PE      ,00000002.10,00000002.10,00000000.10,00000000.20,000000000524900,          1720725,            68829,            15397,    64528990455.00,        1802955.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00037700.00,PE      ,00000002.00,00000002.00,00000000.05,00000000.10,000000000071975,           266050,            10642,             2740,    10030307270.00,         222270.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00037900.00,PE      ,00000001.90,00000002.00,00000000.05,00000000.15,000000000026800,           199325,             7973,             2748,     7554592432.50,         174932.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00038100.00,PE      ,00000002.00,00000002.05,00000000.05,00000000.10,000000000050200,           298875,            11955,             4730,    11387465946.25,         328446.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00038300.00,PE      ,00000002.00,00000002.10,00000000.05,00000000.15,000000000060300,           710675,            28427,             7736,    27219826830.00,         974330.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00038500.00,PE      ,00000002.15,00000002.95,00000000.05,00000000.15,000000000851775,          6119950,           244798,            61097,   235626060557.50,        7985557.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00038700.00,PE      ,00000002.00,00000002.70,00000000.05,00000000.10,000000000084950,          1394425,            55777,            16814,    53965965218.75,        1717718.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00038900.00,PE      ,00000002.00,00000002.65,00000000.05,00000000.10,000000000131050,          1146175,            45847,            14955,    44587796731.25,        1589231.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00039100.00,PE      ,00000002.65,00000002.85,00000000.05,00000000.10,000000000285450,          2078575,            83143,            24541,    81275250090.00,        2967590.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00039300.00,PE      ,00000003.00,00000003.75,00000000.05,00000000.10,000000000300075,          3267625,           130705,            34756,   128423141413.75,        5478913.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00039500.00,PE      ,00000002.55,00000003.00,00000000.10,00000000.20,000000001883300,         15738150,           629526,           127351,   621683972175.00,       27047175.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00039700.00,PE      ,00000002.70,00000004.95,00000000.05,00000000.20,000000000298475,          4314950,           172598,            45183,   171312070463.75,        8555463.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00039900.00,PE      ,00000004.80,00000005.55,00000000.05,00000000.15,000000000326450,          5602125,           224085,            53445,   223536220218.75,       11432718.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00040100.00,PE      ,00000009.85,00000009.85,00000000.05,00000000.20,000000000341575,          7076600,           283064,            81626,   283788000570.00,       16340570.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00040300.00,PE      ,00000010.30,00000012.70,00000000.05,00000000.20,000000000802600,         16722900,           668916,           176071,   673976993960.00,       44123960.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00040500.00,PE      ,00000019.75,00000019.75,00000000.05,00000000.20,000000001872825,         44083200,          1763328,           470653,  1785518936562.50,      149336562.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00040700.00,PE      ,00000039.75,00000039.75,00000000.05,00000000.25,000000000811375,         38082000,          1523280,           580141,  1550123527288.75,      186127288.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00040900.00,PE      ,00000066.55,00000066.55,00000000.05,00000000.35,000000000843375,         78971650,          3158866,           996497,  3230678750665.00,      738265665.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00041100.00,PE      ,00000057.05,00000091.20,00000000.05,00000001.40,000000001433000,        230712600,          9228504,          2859611,  9487482573042.50,     5194713042.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00041300.00,PE      ,00000211.20,00000211.20,00000000.10,00000025.85,000000002645600,        411171375,         16446855,          6074527, 17012726016380.00,    31348228880.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00041500.00,PE      ,00000198.75,00000327.65,00000126.80,00000223.65,000000000687025,        123125775,          4925031,          2217901,  5136111088777.50,    26391426277.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00041700.00,PE      ,00000350.00,00000526.70,00000248.35,00000421.55,000000000094225,         23662925,           946517,           490697,   995767783360.00,     9023810860.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00041900.00,PE      ,00000510.60,00000725.00,00000414.00,00000617.30,000000000026250,          3508700,           140348,            71969,   149023126423.75,     2008596423.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00042100.00,PE      ,00000705.00,00000925.00,00000608.50,00000813.40,000000000015800,           807825,            32313,            12242,    34646653752.50,      637221252.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00042300.00,PE      ,00000927.35,00001116.05,00000805.75,00001015.15,000000000002225,            92850,             3714,             1433,     4018873432.50,       91318432.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00042500.00,PE      ,00001100.20,00001323.50,00001008.00,00001220.25,000000000009525,           139125,             5565,             2506,     6076386590.00,      163574090.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00042700.00,PE      ,00001347.70,00001481.85,00001266.90,00001401.45,000000000000325,             2125,              085,              074,       93638265.00,        2900765.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00042900.00,PE      ,00001440.00,00001699.10,00001440.00,00001618.55,000000000000050,              125,              005,              005,        5564141.25,         201641.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00043100.00,PE      ,00001858.30,00001858.30,00001793.70,00001848.90,000000000000275,              325,              013,              008,       14608385.00,         600885.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00043500.00,PE      ,00002100.05,00002308.60,00002005.95,00002210.75,000000000002250,              800,              032,              023,       36543600.00,        1743600.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00044500.00,PE      ,00003145.00,00003275.90,00003133.15,00003199.25,000000000004350,             2950,              118,              042,      140758900.00,        9483900.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00045500.00,PE      ,00004090.00,00004205.05,00004090.00,00004205.05,000000000000300,              075,              003,              003,        3725001.25,         312501.25
