INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,03/11/2022,00030500.00,PE      ,00000001.25,00000001.75,00000000.75,00000000.80,000000001203275,          3796450,           151858,            27171,   115796090582.50,        4365582.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00031500.00,PE      ,00000001.45,00000001.85,00000000.75,00000000.80,000000000038350,           568650,            22746,             2973,    17913129843.75,         654843.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00032500.00,PE      ,00000001.40,00000002.05,00000000.80,00000000.95,000000000019800,           336200,            13448,             2106,    10926908518.75,         408518.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00033500.00,PE      ,00000001.45,00000001.85,00000000.75,00000001.00,000000000011375,           242450,             9698,             1735,     8122373336.25,         298336.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00034500.00,PE      ,00000001.70,00000001.95,00000000.85,00000001.00,000000000010450,           138750,             5550,             1230,     4787061467.50,         186467.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00035500.00,PE      ,00000001.75,00000002.25,00000001.05,00000001.20,000000000026875,           158000,             6320,             1936,     5609248435.00,         248435.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00035700.00,PE      ,00000002.40,00000002.40,00000000.90,00000001.25,000000000002350,             9250,              370,              177,      330240848.75,          15848.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00035900.00,PE      ,00000001.90,00000002.50,00000000.95,00000001.20,000000000001300,             9425,              377,              199,      338373053.75,          15553.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00036100.00,PE      ,00000002.15,00000002.50,00000001.20,00000001.30,000000000003200,            14650,              586,              281,      528891476.25,          26476.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00036300.00,PE      ,00000002.20,00000002.55,00000000.95,00000001.35,000000000005225,            17150,              686,              438,      622577548.75,          32548.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00036500.00,PE      ,00000001.60,00000002.50,00000001.00,00000001.25,000000000040525,           313525,            12541,             5113,    11444202741.25,         540241.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00036700.00,PE      ,00000002.00,00000002.70,00000000.90,00000001.30,000000000002600,            40000,             1600,             1220,     1468074365.00,          74365.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00036900.00,PE      ,00000002.10,00000002.70,00000001.00,00000001.25,000000000005675,            48425,             1937,             1271,     1786968096.25,          85596.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00037100.00,PE      ,00000002.05,00000002.75,00000001.05,00000001.30,000000000003350,            52175,             2087,             1230,     1935791302.50,          98802.50
