INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,03/11/2022,00040900.00,PE      ,00000143.80,00000166.95,00000065.25,00000119.15,000000000763500,         22439200,           897568,           344762,   920132929798.75,     2369649798.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00041100.00,PE      ,00000126.00,00000239.95,00000100.90,00000183.90,000000000634675,         25677950,          1027118,           428222,  1059541012821.25,     4177267821.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00041300.00,PE      ,00000210.30,00000335.00,00000150.85,00000265.90,000000001052400,         55779675,          2231187,          1031336,  2317318003745.00,    13617426245.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00041500.00,PE      ,00000305.45,00000458.00,00000216.55,00000371.25,000000002080100,         83554200,          3342168,          1574966,  3493158702310.00,    25659402310.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00041700.00,PE      ,00000430.45,00000595.00,00000304.30,00000494.95,000000000200950,         25765150,          1030606,           492738,  1084397021788.75,     9990266788.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00041900.00,PE      ,00000558.35,00000746.95,00000412.00,00000641.85,000000000112350,          5230625,           209225,           103342,   221851332497.50,     2688144997.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00042100.00,PE      ,00000700.00,00000921.25,00000541.55,00000815.55,000000000042575,           660375,            26415,            13169,    28234188922.50,      432401422.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00042300.00,PE      ,00000867.15,00001103.45,00000693.05,00000997.30,000000000029450,           263225,            10529,             4636,    11355722163.75,      221304663.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00042500.00,PE      ,00001036.60,00001296.05,00000860.00,00001184.60,000000000029725,           561575,            22463,             9971,    24451418536.25,      584481036.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00042700.00,PE      ,00001209.70,00001472.60,00001043.00,00001387.40,000000000003400,            10325,              413,              244,      453046255.00,       12168755.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00042900.00,PE      ,00001395.35,00001462.60,00001233.95,00001462.55,000000000000725,              875,              035,              031,       38698181.25,        1160681.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00043100.00,PE      ,00001459.00,00001855.35,00001438.85,00001777.95,000000000000275,              850,              034,              022,       37952891.25,        1317891.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00043500.00,PE      ,00001993.90,00002248.95,00001845.45,00002185.15,000000000005550,            12850,              514,              150,      585121505.00,       26146505.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00043700.00,PE      ,00002033.80,00002033.80,00002033.80,00002033.80,000000000000250,              250,              010,              001,       11433450.00,         508450.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00044500.00,PE      ,00003137.30,00003137.30,00003137.30,00003137.30,000000000000100,              100,              004,              001,        4763730.00,         313730.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00012400.00,CE      ,00006912.05,00006912.05,00006912.05,00006912.05,000000000001600,             1600,              040,              002,       30899280.00,       11059280.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00012400.00,PE      ,00000001.05,00000001.30,00000001.05,00000001.30,000000000001640,             1640,              041,              005,       20338072.00,           2072.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00016400.00,PE      ,00000000.05,00000003.00,00000000.05,00000001.55,000000000000000,             3200,              080,              002,       52484880.00,           4880.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00016500.00,PE      ,00000000.45,00000000.45,00000000.05,00000000.10,000000000003200,            10480,              262,              074,      172921998.00,           1998.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00016600.00,PE      ,00000000.35,00000000.35,00000000.05,00000000.05,000000000001400,              840,              021,              004,       13944172.00,            172.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00016700.00,PE      ,00000000.50,00000000.50,00000000.05,00000000.05,000000000001600,             1680,              042,              013,       28056364.00,            364.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00016800.00,PE      ,00000000.40,00000000.40,00000000.05,00000000.05,000000000004120,             6960,              174,              035,      116928850.00,            850.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00016900.00,PE      ,00000000.25,00000000.25,00000000.20,00000000.20,000000000000320,              280,              007,              007,        4732058.00,             58.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017000.00,PE      ,00000000.30,00000000.30,00000000.05,00000000.05,000000000036200,           158800,             3970,              525,     2699619982.00,          19982.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017050.00,PE      ,00000000.10,00000000.15,00000000.10,00000000.10,000000000002120,             2080,              052,              020,       35464258.00,            258.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017100.00,PE      ,00000000.10,00000001.80,00000000.05,00000000.05,000000000008840,            12400,              310,              091,      212043180.00,           3180.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017150.00,PE      ,00000000.10,00000000.15,00000000.10,00000000.10,000000000002080,             2720,              068,              021,       46648304.00,            304.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017200.00,PE      ,00000000.20,00000000.30,00000000.05,00000000.10,000000000019960,            25720,              643,              131,      442388528.00,           4528.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017250.00,PE      ,00000000.05,00000000.20,00000000.05,00000000.10,000000000003400,             6760,              169,              051,      116610776.00,            776.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017300.00,PE      ,00000000.15,00000000.30,00000000.05,00000000.10,000000000012760,            28560,              714,              179,      494092268.00,           4268.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017350.00,PE      ,00000000.10,00000000.30,00000000.05,00000000.05,000000000002280,             6840,              171,              060,      118674938.00,            938.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017400.00,PE      ,00000000.10,00000000.30,00000000.05,00000000.05,000000000025200,            57400,             1435,              331,      998769972.00,           9972.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017450.00,PE      ,00000000.05,00000001.40,00000000.05,00000000.05,000000000005560,            59600,             1490,              335,     1040030252.00,          10252.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017500.00,PE      ,00000000.40,00000000.40,00000000.05,00000000.10,000000000209040,           883640,            22091,             2166,    15463878026.00,         178026.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017550.00,PE      ,00000000.20,00000000.50,00000000.05,00000000.10,000000000018640,            78400,             1960,              376,     1375934718.00,          14718.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017600.00,PE      ,00000000.40,00000000.40,00000000.05,00000000.10,000000000060040,           235320,             5883,             1165,     4141688208.00,          56208.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017650.00,CE      ,00001060.45,00001070.00,00001060.45,00001070.00,000000000000040,              080,              002,              002,        1497218.00,          85218.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017650.00,PE      ,00000000.10,00000000.45,00000000.05,00000000.10,000000000008240,            35600,              890,              365,      628348580.00,           8580.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017700.00,PE      ,00000000.25,00000000.50,00000000.05,00000000.10,000000000134080,           845960,            21149,             3522,    14973727916.00,         235916.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017750.00,PE      ,00000000.55,00000000.55,00000000.05,00000000.10,000000000017360,            64920,             1623,              584,     1152347352.00,          17352.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017800.00,PE      ,00000000.35,00000000.50,00000000.05,00000000.10,000000000213440,          1300640,            32516,             4749,    23151740366.00,         348366.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017850.00,PE      ,00000000.65,00000000.65,00000000.05,00000000.05,000000000029520,           156080,             3902,             1007,     2786068142.00,          40142.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00017900.00,PE      ,00000000.45,00000000.70,00000000.05,00000000.10,000000000247760,          1395880,            34897,             6803,    24986715400.00,         463400.00
