INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,03/11/2022,00030500.00,PE      ,00000001.70,00000001.95,00000001.35,00000001.50,000000000911200,          6791025,           271641,            41179,   207137722053.75,       11459553.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00031500.00,PE      ,00000001.85,00000002.00,00000001.40,00000001.50,000000000040425,          1023900,            40956,             5136,    32254623263.75,        1773263.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00032500.00,PE      ,00000001.90,00000002.00,00000001.45,00000001.60,000000000019200,           592875,            23715,             3336,    19269484776.25,        1047276.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00033500.00,PE      ,00000002.00,00000002.05,00000001.40,00000001.55,000000000009575,           320375,            12815,             1877,    10733131073.75,         568573.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00034500.00,PE      ,00000002.30,00000002.35,00000001.50,00000001.65,000000000009650,           258100,            10324,             2004,     8904935213.75,         485213.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00035500.00,PE      ,00000002.95,00000003.05,00000001.75,00000002.00,000000000029550,           320175,            12807,             3998,    11366931293.75,         718793.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00035700.00,PE      ,00000003.05,00000003.05,00000001.65,00000002.10,000000000002275,            10875,              435,              189,      388262452.50,          24952.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00035900.00,PE      ,00000002.75,00000002.90,00000001.65,00000002.15,000000000001950,             5750,              230,              117,      206438078.75,          13078.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00036100.00,PE      ,00000002.90,00000004.50,00000002.00,00000002.20,000000000003275,            38625,             1545,              616,     1394458218.75,          95718.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00036300.00,PE      ,00000003.15,00000003.15,00000001.70,00000002.10,000000000003975,            16325,              653,              487,      592636795.00,          39295.00
