INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,03/11/2022,00030500.00,PE      ,00000002.00,00000002.25,00000001.65,00000001.75,000000000578850,          5179525,           207181,            27904,   157985283737.50,        9771237.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00031500.00,PE      ,00000002.35,00000002.50,00000001.70,00000001.85,000000000031925,           390000,            15600,             2688,    12285786620.00,         786620.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00032500.00,PE      ,00000002.50,00000002.70,00000001.75,00000001.95,000000000008875,           217225,             8689,             2236,     7060291742.50,         479242.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00033500.00,PE      ,00000002.95,00000002.95,00000001.90,00000002.00,000000000005100,           101225,             4049,              834,     3391261918.75,         224418.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00034500.00,PE      ,00000003.00,00000003.00,00000002.05,00000002.15,000000000008875,            45200,             1808,              344,     1559500941.25,         100941.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00035500.00,PE      ,00000004.25,00000004.30,00000002.45,00000002.65,000000000037450,           354575,            14183,             4443,    12588430555.00,        1018055.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00035900.00,PE      ,00000003.50,00000005.75,00000002.50,00000002.70,000000000001675,            18575,              743,              283,      666904958.75,          62458.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00036100.00,PE      ,00000002.80,00000010.80,00000002.60,00000002.80,000000000000375,             4475,              179,              070,      161561282.50,          13782.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00036300.00,PE      ,00000004.90,00000004.90,00000002.80,00000002.95,000000000003975,            42425,             1697,              924,     1540176646.25,         149146.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00036500.00,PE      ,00000003.35,00000004.60,00000002.95,00000003.10,000000000094850,           623600,            24944,            10755,    22763600622.50,        2200622.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00036700.00,PE      ,00000004.35,00000004.55,00000003.00,00000003.25,000000000005425,            50650,             2026,             1384,     1859042400.00,         187400.00
