INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,27/10/2022,00027500.00,PE      ,00000001.35,00000001.80,00000000.70,00000000.80,000000000680950,          2702175,           108087,            11950,    74313141462.50,        3328962.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00028500.00,PE      ,00000001.85,00000004.40,00000000.75,00000000.85,000000000062600,           521875,            20875,             3662,    14874204455.00,         766955.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00029500.00,PE      ,00000001.65,00000002.85,00000000.80,00000000.90,000000000033550,           329125,            13165,             2805,     9709685068.75,         497568.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00030500.00,PE      ,00000001.80,00000002.65,00000000.90,00000001.05,000000000010850,           181400,             7256,             1787,     5532995361.25,         295361.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00031500.00,PE      ,00000002.05,00000002.70,00000001.10,00000001.25,000000000020625,           143650,             5746,             1425,     4525213758.75,         238758.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00032500.00,PE      ,00000002.05,00000002.60,00000001.20,00000001.35,000000000033725,            86575,             3463,             1153,     2813839983.75,         152483.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00033500.00,PE      ,00000002.80,00000002.80,00000001.00,00000001.15,000000000063700,           130875,             5235,             1690,     4384536935.00,         224435.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00033700.00,PE      ,00000002.00,00000002.60,00000000.90,00000001.35,000000000001100,             4625,              185,              119,      155870136.25,           7636.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00033900.00,PE      ,00000001.45,00000003.10,00000001.15,00000001.50,000000000002425,            14375,              575,              219,      487338090.00,          25590.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00034100.00,PE      ,00000001.45,00000002.50,00000001.40,00000001.65,000000000001500,             5450,              218,              140,      185855006.25,          10006.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00034300.00,PE      ,00000003.05,00000003.05,00000000.60,00000001.85,000000000002425,             7850,              314,              186,      269270168.75,          15168.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00034500.00,PE      ,00000002.00,00000002.65,00000001.25,00000001.60,000000000045625,           237350,             9494,             3392,     8189033793.75,         458793.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00034700.00,PE      ,00000002.30,00000003.40,00000000.60,00000001.65,000000000001850,             8925,              357,              198,      309714256.25,          16756.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00034900.00,PE      ,00000003.00,00000003.80,00000001.30,00000001.80,000000000001825,             5650,              226,              145,      197197393.75,          12393.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00035100.00,PE      ,00000003.05,00000003.80,00000001.25,00000001.90,000000000007400,            18300,              732,              318,      642376442.50,          46442.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00035300.00,PE      ,00000003.20,00000003.20,00000001.25,00000001.55,000000000003500,            10000,              400,              247,      353022617.50,          22617.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00035500.00,PE      ,00000003.35,00000003.35,00000001.20,00000001.55,000000000068725,           340850,            13634,             4634,    12100980132.50,         805132.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00035700.00,PE      ,00000005.00,00000005.00,00000001.20,00000001.50,000000000003775,            18800,              752,              452,      671208453.75,          48453.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00035900.00,PE      ,00000003.30,00000004.15,00000001.30,00000001.70,000000000005075,            40900,             1636,              762,     1468424195.00,         114195.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00036100.00,PE      ,00000001.80,00000003.80,00000001.40,00000001.85,000000000010825,            29600,             1184,              669,     1068644517.50,          84517.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00036300.00,PE      ,00000003.95,00000003.95,00000001.05,00000001.65,000000000020975,            63175,             2527,             1207,     2293423108.75,         170608.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00036500.00,PE      ,00000001.55,00000004.10,00000001.10,00000001.55,000000000470975,          1549425,            61977,            19885,    56557997782.50,        3985282.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00036700.00,PE      ,00000001.85,00000004.35,00000001.50,00000002.05,000000000018175,            64475,             2579,             1117,     2366438972.50,         206472.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00036900.00,PE      ,00000002.25,00000004.55,00000001.30,00000001.90,000000000018300,            63675,             2547,             1166,     2349807680.00,         200180.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00037100.00,PE      ,00000005.20,00000005.20,00000001.10,00000002.20,000000000015325,            86425,             3457,             1721,     3206653913.75,         286413.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00037300.00,PE      ,00000005.90,00000005.90,00000001.45,00000002.25,000000000041300,           187675,             7507,             3084,     7000920701.25,         643201.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00037500.00,PE      ,00000002.50,00000005.25,00000001.80,00000002.65,000000000829975,          5074875,           202995,            45461,   190325917516.25,       18105016.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00037700.00,PE      ,00000005.65,00000005.80,00000001.90,00000002.75,000000000093175,           292075,            11683,             3530,    11012415835.00,        1188335.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00037900.00,PE      ,00000004.00,00000005.75,00000002.00,00000002.85,000000000043150,           390375,            15615,             5602,    14796854260.00,        1641760.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00038100.00,PE      ,00000005.05,00000006.10,00000002.05,00000003.00,000000000090875,           483050,            19322,             6671,    18406266953.75,        2061953.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00038300.00,PE      ,00000006.25,00000006.40,00000002.15,00000003.10,000000000283625,          1183675,            47347,            17029,    45340049782.50,        5297282.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00038500.00,PE      ,00000005.85,00000007.00,00000002.80,00000003.75,000000001458900,          8794650,           351786,            90273,   338635711661.25,       41686661.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00038700.00,PE      ,00000004.20,00000007.50,00000002.85,00000003.70,000000000350875,          1843400,            73736,            27963,    71348523618.75,        8943618.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00038900.00,PE      ,00000007.95,00000008.50,00000002.90,00000004.20,000000000188650,          1982550,            79302,            26816,    77132281685.00,       11086685.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00039100.00,PE      ,00000007.85,00000009.65,00000003.50,00000004.60,000000000161200,          1991525,            79661,            30114,    77881244491.25,       12616991.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00039300.00,PE      ,00000008.75,00000011.25,00000004.20,00000005.35,000000000415900,          3788225,           151529,            50149,   148903260293.75,       26017793.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00039500.00,PE      ,00000011.55,00000013.60,00000005.40,00000006.55,000000001544275,         12284250,           491370,           162266,   485328573950.00,      100698950.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00039700.00,PE      ,00000015.85,00000016.75,00000006.75,00000008.00,000000000458275,          6046125,           241845,            86578,   240089975813.75,       58813313.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00039900.00,PE      ,00000017.10,00000022.20,00000008.35,00000010.70,000000000536850,          7851975,           314079,           108321,   313394732720.00,      100930220.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00040100.00,PE      ,00000022.05,00000030.20,00000010.60,00000015.35,000000000604800,         12539050,           501562,           157449,   503031514510.00,      215609510.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00040300.00,PE      ,00000032.85,00000043.40,00000014.35,00000023.20,000000000808150,         17262925,           690517,           172907,   696125771863.75,      429894363.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00040500.00,PE      ,00000056.45,00000065.00,00000020.85,00000037.70,000000002016775,         43859950,          1754398,           471170,  1778022785902.50,     1694810902.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00040700.00,PE      ,00000050.05,00000100.80,00000032.55,00000065.30,000000000897300,         30147875,          1205915,           387042,  1228903773218.75,     1885260718.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00040900.00,PE      ,00000055.00,00000155.70,00000055.00,00000113.05,000000000552100,         33380650,          1335226,           521827,  1368754555190.00,     3485970190.00
OPTIDX    ,BANKNIFTY ,27/10/2022,00041100.00,PE      ,00000162.90,00000235.00,00000098.50,00000189.80,000000000641375,         60686875,          2427475,          1099383,  2504935354976.25,    10704792476.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00041300.00,PE      ,00000256.65,00000350.00,00000142.20,00000284.40,000000000428925,         78930500,          3157220,          1450166,  3280274259861.25,    20444609861.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00041500.00,PE      ,00000294.40,00000500.35,00000253.80,00000419.15,000000000654575,         50580375,          2023215,          1001061,  2118237240318.75,    19151677818.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00041700.00,PE      ,00000415.05,00000675.90,00000364.85,00000589.00,000000000063425,          5418000,           216720,           106216,   228764673937.50,     2834073937.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00041900.00,PE      ,00000569.85,00000866.05,00000504.75,00000780.40,000000000013175,           591000,            23640,            11635,    25167347377.50,      404447377.50
OPTIDX    ,BANKNIFTY ,27/10/2022,00042100.00,PE      ,00000720.75,00001061.25,00000673.10,00000961.50,000000000004950,           132900,             5316,             2208,     5711092536.25,      116002536.25
OPTIDX    ,BANKNIFTY ,27/10/2022,00042300.00,PE      ,00000901.75,00001261.25,00000852.25,00001145.50,000000000002150,            21700,              868,              519,      941062088.75,       23152088.75
OPTIDX    ,BANKNIFTY ,27/10/2022,00042500.00,PE      ,00001067.80,00001463.45,00001059.35,00001374.55,000000000013100,           108675,             4347,             1819,     4754477452.50,      135789952.50
