INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,03/11/2022,00030500.00,PE      ,00000000.55,00000001.85,00000000.10,00000000.20,000000001800875,          4559975,           182399,            25230,   139081675841.25,        2438341.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00031500.00,PE      ,00000000.40,00000001.75,00000000.10,00000000.20,000000000126875,           604300,            24172,             3098,    19035784432.50,         334432.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00032500.00,PE      ,00000000.40,00000001.70,00000000.10,00000000.15,000000000035575,           299400,            11976,             1701,     9730643660.00,         143660.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00033500.00,PE      ,00000001.00,00000001.70,00000000.10,00000000.15,000000000020075,           207600,             8304,             1607,     6954734851.25,         134851.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00034500.00,PE      ,00000002.00,00000002.00,00000000.10,00000000.15,000000000022900,           131625,             5265,             1154,     4541165745.00,         103245.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00035500.00,PE      ,00000001.20,00000001.65,00000000.10,00000000.15,000000000028925,           183650,             7346,             2471,     6519745521.25,         170521.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00035700.00,PE      ,00000001.25,00000001.90,00000000.05,00000000.10,000000000002175,            11250,              450,              185,      401635620.00,          10620.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00035900.00,PE      ,00000001.20,00000003.75,00000000.05,00000000.10,000000000001100,             9875,              395,              250,      354522117.50,           9617.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00036100.00,PE      ,00000000.70,00000001.45,00000000.05,00000000.10,000000000003750,            10175,              407,              162,      367325881.25,           8381.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00036300.00,PE      ,00000000.75,00000001.75,00000000.05,00000000.10,000000000005075,            21900,              876,              376,      794992035.00,          22035.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00036500.00,PE      ,00000001.25,00000001.65,00000000.05,00000000.10,000000000047225,           347425,            13897,             4988,    12681375758.75,         363258.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00036700.00,PE      ,00000001.30,00000001.90,00000000.05,00000000.10,000000000002600,            70150,             2806,             1639,     2574572331.25,          67331.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00036900.00,PE      ,00000001.30,00000001.95,00000000.05,00000000.10,000000000003625,            72950,             2918,             1747,     2691933816.25,          78816.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00037100.00,PE      ,00000001.40,00000001.85,00000000.05,00000000.15,000000000002950,            81850,             3274,             2102,     3036732123.75,          97123.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00037300.00,PE      ,00000001.35,00000001.80,00000000.05,00000000.15,000000000003775,           119950,             4798,             3240,     4474282578.75,         147578.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00037500.00,PE      ,00000000.85,00000001.80,00000000.05,00000000.10,000000000103950,          2198500,            87940,            25705,    82446678633.75,        2928633.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00037700.00,PE      ,00000001.35,00000001.85,00000000.05,00000000.10,000000000006225,           175000,             7000,             4142,     6597732583.75,         232583.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00037900.00,PE      ,00000001.40,00000002.05,00000000.05,00000000.10,000000000015100,           224625,             8985,             4325,     8513579337.50,         291837.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00038100.00,PE      ,00000001.45,00000002.10,00000000.05,00000000.10,000000000043300,           485075,            19403,             9633,    18481992661.25,         635161.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00038300.00,PE      ,00000001.00,00000002.20,00000000.05,00000000.10,000000000056800,           958850,            38354,            13776,    36725165457.50,        1210457.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00038500.00,PE      ,00000001.50,00000002.45,00000000.05,00000000.10,000000000699775,          8393200,           335728,            97943,   323150489326.25,       12289326.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00038700.00,PE      ,00000002.00,00000002.55,00000000.05,00000000.10,000000000225300,          1564225,            62569,            22984,    60537821652.50,        2314152.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00038900.00,PE      ,00000002.10,00000002.65,00000000.05,00000000.05,000000000278900,          2060575,            82423,            29297,    80159606072.50,        3238572.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00039100.00,PE      ,00000002.25,00000003.40,00000000.05,00000000.10,000000000295975,          3079600,           123184,            44213,   120417972231.25,        5612231.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00039300.00,PE      ,00000002.90,00000003.20,00000000.05,00000000.15,000000000257500,          4657025,           186281,            56659,   183030391822.50,        9309322.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00039500.00,PE      ,00000002.90,00000003.65,00000000.05,00000000.15,000000002902950,         34038775,          1361551,           278132,  1344605305080.00,       73692580.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00039700.00,PE      ,00000007.00,00000007.00,00000000.05,00000000.10,000000000538650,         10607300,           424292,           118187,   421136991105.00,       27181105.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00039900.00,PE      ,00000006.40,00000008.90,00000000.05,00000000.10,000000000427975,         13340600,           533624,           161467,   532333474030.00,       43534030.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00040100.00,PE      ,00000018.00,00000019.70,00000000.05,00000000.15,000000000321900,         16564525,           662581,           230251,   664311567001.25,       74114501.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00040300.00,PE      ,00000044.25,00000044.25,00000000.05,00000000.20,000000000678475,         27236400,          1089456,           362319,  1097796447636.25,      169527636.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00040500.00,PE      ,00000064.85,00000064.85,00000000.05,00000000.20,000000001477275,         70895700,          2835828,           812488,  2872005584458.75,      729734458.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00040700.00,PE      ,00000103.25,00000116.40,00000000.05,00000000.25,000000000785600,         73493950,          2939758,           904142,  2992462967038.75,     1259202038.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00040900.00,PE      ,00000159.00,00000205.10,00000000.05,00000000.35,000000001354525,        113786050,          4551442,          1472293,  4657118711518.75,     3269266518.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00041100.00,PE      ,00000373.70,00000373.70,00000000.05,00000000.70,000000001603400,        196631375,          7865255,          2711009,  8089289040661.25,     7739528161.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00041300.00,PE      ,00000375.00,00000474.95,00000000.50,00000009.55,000000004391975,        467308550,         18692342,          7254003, 19327317966243.75,    27474851243.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00041500.00,PE      ,00000650.00,00000695.75,00000101.25,00000186.35,000000000729925,        115683650,          4627346,          2092556,  4825157953945.00,    24286478945.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00041700.00,PE      ,00000606.80,00000823.30,00000263.20,00000385.60,000000000102350,         18268875,           730755,           333409,   768808829040.00,     6996741540.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00041900.00,PE      ,00001011.40,00001014.50,00000441.00,00000588.65,000000000064900,          2028125,            81125,            37776,    86146003983.75,     1167566483.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00042100.00,PE      ,00001200.00,00001205.75,00000635.90,00000784.45,000000000011975,           429450,            17178,             8189,    18419913031.25,      340068031.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00042300.00,PE      ,00001366.45,00001366.50,00000835.95,00000982.30,000000000017200,           105650,             4226,             2098,     4571988842.50,      102993842.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00042500.00,PE      ,00001574.20,00001586.95,00001040.00,00001193.05,000000000009850,           125575,             5023,             2802,     5490995680.00,      154058180.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00042700.00,PE      ,00001300.00,00001430.75,00001240.00,00001398.40,000000000002650,             1625,              065,              038,       71621742.50,        2234242.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00042900.00,PE      ,00001987.50,00001987.50,00001575.90,00001586.75,000000000000775,              475,              019,              010,       21167815.00,         790315.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00043100.00,PE      ,00002036.85,00002041.40,00001754.25,00001784.45,000000000000450,              700,              028,              020,       31458812.50,        1288812.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00043300.00,PE      ,00002025.90,00002097.20,00001984.70,00001998.30,000000000000200,              600,              024,              010,       27188922.50,        1208922.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00043500.00,PE      ,00002493.05,00002493.05,00002060.00,00002191.05,000000000001425,             2700,              108,              058,      123421350.00,        5971350.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00043700.00,PE      ,00002417.15,00002417.15,00002378.25,00002378.25,000000000000250,              050,              002,              002,        2304885.00,         119885.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00044500.00,PE      ,00003204.20,00003204.20,00003075.85,00003075.85,000000000000125,              050,              002,              002,        2382001.25,         157001.25
OPTIDX    ,FINNIFTY  ,07/11/2022,00017000.00,PE      ,00000001.10,00000002.80,00000000.55,00000000.95,000000000010760,            23920,              598,              204,      406668406.00,          28406.00
OPTIDX    ,FINNIFTY  ,07/11/2022,00017050.00,PE      ,00000001.70,00000001.70,00000000.40,00000001.05,000000000000080,              080,              002,              002,        1364084.00,             84.00
OPTIDX    ,FINNIFTY  ,07/11/2022,00017100.00,PE      ,00000001.50,00000002.00,00000000.70,00000000.85,000000000002080,             3480,              087,              050,       59513750.00,           5750.00
OPTIDX    ,FINNIFTY  ,07/11/2022,00017200.00,PE      ,00000002.00,00000002.60,00000000.75,00000001.10,000000000001800,             8000,              200,              140,      137612246.00,          12246.00
OPTIDX    ,FINNIFTY  ,07/11/2022,00017250.00,PE      ,00000001.00,00000001.60,00000000.75,00000001.25,000000000000560,             1080,              027,              016,       18631274.00,           1274.00
OPTIDX    ,FINNIFTY  ,07/11/2022,00017300.00,PE      ,00000002.00,00000003.10,00000000.65,00000001.10,000000000003280,            44960,             1124,              518,      777885426.00,          77426.00
