DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
31-OCT-2022,FUTIDX,BANKEX,03-NOV-2022,47423.65
31-OCT-2022,FUTIDX,BANKEX,10-NOV-2022,47481.95
31-OCT-2022,FUTIDX,BANKEX,17-NOV-2022,47540.40
31-OCT-2022,FUTIDX,BANKEX,24-NOV-2022,47598.85
31-OCT-2022,FUTIDX,BANKEX,01-DEC-2022,47662.25
31-OCT-2022,FUTIDX,BANKEX,08-DEC-2022,47722.00
31-OCT-2022,FUTIDX,BANKEX,15-DEC-2022,47781.80
31-OCT-2022,FUTIDX,BANKEX,29-DEC-2022,47901.60
31-OCT-2022,FUTIDX,BANKEX,25-JAN-2023,48133.55
31-OCT-2022,FUTIDX,BANKNIFTY,24-NOV-2022,41466.80
31-OCT-2022,FUTIDX,BANKNIFTY,29-DEC-2022,41634.15
31-OCT-2022,FUTIDX,BANKNIFTY,25-JAN-2023,41775.40
31-OCT-2022,FUTIDX,FINNIFTY,29-NOV-2022,18587.30
31-OCT-2022,FUTIDX,FINNIFTY,27-DEC-2022,18690.85
31-OCT-2022,FUTIDX,FINNIFTY,31-JAN-2023,18845.95
31-OCT-2022,FUTIDX,MIDCPNIFTY,01-NOV-2022,7417.40
31-OCT-2022,FUTIDX,MIDCPNIFTY,07-NOV-2022,7425.25
31-OCT-2022,FUTIDX,MIDCPNIFTY,15-NOV-2022,7435.70
31-OCT-2022,FUTIDX,MIDCPNIFTY,22-NOV-2022,7444.85
31-OCT-2022,FUTIDX,MIDCPNIFTY,29-NOV-2022,7454.00
31-OCT-2022,FUTIDX,MIDCPNIFTY,06-DEC-2022,7464.05
31-OCT-2022,FUTIDX,MIDCPNIFTY,13-DEC-2022,7473.40
31-OCT-2022,FUTIDX,MIDCPNIFTY,20-DEC-2022,7482.75
31-OCT-2022,FUTIDX,MIDCPNIFTY,27-DEC-2022,7492.15
31-OCT-2022,FUTIDX,MIDCPNIFTY,31-JAN-2023,7539.20
31-OCT-2022,FUTIDX,NIFTY,24-NOV-2022,18051.05
31-OCT-2022,FUTIDX,NIFTY,29-DEC-2022,18109.95
31-OCT-2022,FUTIDX,NIFTY,25-JAN-2023,18158.60
31-OCT-2022,FUTIDX,SENSEX,03-NOV-2022,60778.60
31-OCT-2022,FUTIDX,SENSEX,10-NOV-2022,60853.40
31-OCT-2022,FUTIDX,SENSEX,17-NOV-2022,60928.25
31-OCT-2022,FUTIDX,SENSEX,24-NOV-2022,61003.20
31-OCT-2022,FUTIDX,SENSEX,01-DEC-2022,61084.45
31-OCT-2022,FUTIDX,SENSEX,08-DEC-2022,61161.00
31-OCT-2022,FUTIDX,SENSEX,15-DEC-2022,61237.65
31-OCT-2022,FUTIDX,SENSEX,29-DEC-2022,61391.20
31-OCT-2022,FUTIDX,SENSEX,25-JAN-2023,61688.45
31-OCT-2022,FUTIDX,SENSEX50,03-NOV-2022,18979.25
31-OCT-2022,FUTIDX,SENSEX50,10-NOV-2022,19002.60
31-OCT-2022,FUTIDX,SENSEX50,17-NOV-2022,19026.00
31-OCT-2022,FUTIDX,SENSEX50,24-NOV-2022,19049.40
31-OCT-2022,FUTIDX,SENSEX50,01-DEC-2022,19074.75
31-OCT-2022,FUTIDX,SENSEX50,08-DEC-2022,19098.65
31-OCT-2022,FUTIDX,SENSEX50,15-DEC-2022,19122.60
31-OCT-2022,FUTIDX,SENSEX50,29-DEC-2022,19170.55
31-OCT-2022,FUTIDX,SENSEX50,25-JAN-2023,19263.40
31-OCT-2022,FUTIDX,SX40,03-NOV-2022,35376.45
31-OCT-2022,FUTIDX,SX40,10-NOV-2022,35419.95
31-OCT-2022,FUTIDX,SX40,17-NOV-2022,35463.55
31-OCT-2022,FUTIDX,SX40,24-NOV-2022,35507.15
31-OCT-2022,FUTIDX,SX40,01-DEC-2022,35554.45
31-OCT-2022,FUTIDX,SX40,08-DEC-2022,35599.00
31-OCT-2022,FUTIDX,SX40,29-DEC-2022,35733.00
31-OCT-2022,FUTIDX,SX40,25-JAN-2023,35906.00
31-OCT-2022,FUTSTK,AARTIIND,03-NOV-2022,699.50
31-OCT-2022,FUTSTK,AARTIIND,10-NOV-2022,700.35
31-OCT-2022,FUTSTK,AARTIIND,17-NOV-2022,701.20
31-OCT-2022,FUTSTK,AARTIIND,24-NOV-2022,691.40
